Id,Sales
1,460.09787
2,226.7378
3,469.30472
4,994.40393
5,600.52673
6,501.30878
7,596.3423
8,435.95456
9,340.48267
10,348.2365
11,372.85507
12,783.1635
13,171.60315
14,341.0257
15,460.09216
16,336.55154
17,519.96265
18,242.83983
19,555.4997
20,312.8789
21,466.71844
22,228.98701
23,631.42487
24,382.6396
25,623.1922
26,272.9011
27,352.38208
28,500.73587
29,366.0085
30,398.58975
31,437.71802
32,239.27441
33,313.20596
34,706.1407
35,234.6433
36,520.71545
37,591.0549
38,630.715
39,575.9786
40,261.41025
41,306.8593
42,359.797
43,183.27269
44,388.50815
45,582.98566
46,613.01117
47,326.885
48,245.03859
49,442.1805
50,769.23004
51,292.05505
52,304.1547
53,522.446
54,144.31393
55,367.62012
56,881.8509
57,670.14557
58,501.8029
59,577.5892
60,337.13925
61,832.5879
62,696.82715
63,389.60028
64,198.40878
65,621.7636
66,501.82104
67,453.41937
68,402.62473
69,572.03534
70,372.9559
71,340.91415
72,235.0981
73,391.08185
74,215.96118
75,266.29285
76,655.09784
77,278.78534
78,212.50487
79,238.97293
80,506.91266
81,560.94147
82,768.5752
83,273.82578
84,446.70468
85,523.6738
86,510.27637
87,337.21756
88,585.31824
89,734.8144
90,763.0604
91,526.71106
92,251.91911
93,677.04767
94,309.61783
95,260.85577
96,480.48068
97,301.36066
98,358.89862
99,579.1695
100,354.5883
101,476.09775
102,247.85126
103,437.05
104,309.34067
105,504.61603
106,195.36674
107,525.80817
108,603.82477
109,543.40735
110,368.5124
111,297.0938
112,426.83984
113,270.64026
114,359.2695
115,608.5923
116,161.31343
117,638.61664
118,369.27335
119,558.93896
120,402.34415
121,538.6764
122,393.30673
123,516.0056
124,290.91034
125,301.8459
126,293.49677
127,493.56705
128,894.0738
129,289.17355
130,292.08694
131,535.5002
132,326.67776
133,338.7381
134,557.3647
135,626.0252
136,627.624
137,412.65094
138,297.3326
139,197.59766
140,640.6143
141,486.66815
142,377.76642
143,635.2079
144,290.63388
145,531.4416
146,344.07492
147,369.6696
148,367.72357
149,780.2386
150,299.65817
151,664.46356
152,465.59082
153,231.88219
154,599.968
155,123.18624
156,453.46542
157,337.21466
158,359.08948
159,877.491
160,501.59857
161,368.11075
162,614.9337
163,280.14447
164,216.851
165,324.64508
166,331.54575
167,571.03186
168,216.159
169,634.10815
170,551.20306
171,597.8533
172,484.32837
173,961.08606
174,607.5798
175,195.7442
176,361.18973
177,730.9762
178,317.96414
179,986.1678
180,529.62115
181,416.82986
182,370.68665
183,532.2216
184,556.8005
185,327.11984
186,423.08582
187,346.85175
188,886.2945
189,475.0949
190,305.73938
191,488.92368
192,608.9543
193,316.56747
194,684.77246
195,186.81464
196,331.93124
197,260.6776
198,216.81378
199,181.48177
200,309.1668
201,629.5876
202,516.34796
203,346.6763
204,568.42523
205,724.2937
206,581.67615
207,673.94775
208,434.68274
209,494.10205
210,500.23615
211,371.85916
212,343.5141
213,642.7816
214,342.54773
215,170.91734
216,679.6211
217,344.53494
218,381.87164
219,932.35376
220,346.09656
221,252.70174
222,526.60156
223,469.41214
224,672.54614
225,283.30942
226,291.62296
227,718.8625
228,511.51
229,272.212
230,483.23538
231,800.3927
232,196.74472
233,162.1262
234,665.3906
235,191.38649
236,384.22238
237,335.98584
238,230.51462
239,309.38818
240,667.1714
241,441.10797
242,313.6087
243,297.29333
244,382.0496
245,299.6196
246,292.95398
247,1031.4734
248,300.33136
249,349.3042
250,305.877
251,575.63153
252,194.70699
253,199.79604
254,519.61316
255,638.74243
256,181.32104
257,434.4063
258,878.34753
259,198.76976
260,610.2312
261,286.35034
262,741.60596
263,693.3672
264,402.72513
265,203.18695
266,284.41568
267,331.45944
268,504.70435
269,229.29503
270,357.16357
271,397.2583
272,277.87198
273,270.26575
274,263.4216
275,431.77103
276,758.3077
277,347.86426
278,579.8216
279,679.75134
280,549.4564
281,305.0929
282,363.2894
283,811.9982
284,284.4035
285,716.1384
286,261.21002
287,266.302
288,251.18083
289,430.43054
290,410.6114
291,522.9851
292,481.74454
293,194.05318
294,936.8517
295,678.5525
296,420.29565
297,213.07207
298,626.8275
299,679.06067
300,531.5817
301,589.94806
302,423.99118
303,686.91
304,538.3495
305,323.9685
306,579.79974
307,291.10532
308,626.6871
309,270.7825
310,283.107
311,337.46478
312,279.81323
313,274.18835
314,480.6175
315,220.88635
316,663.1952
317,364.29398
318,613.4109
319,443.85867
320,548.49963
321,652.8996
322,328.13248
323,312.55994
324,335.81705
325,304.56296
326,837.7982
327,263.787
328,475.38544
329,580.3499
330,290.46304
331,438.86435
332,337.32532
333,571.13837
334,488.3668
335,649.3737
336,342.02365
337,344.01044
338,636.1418
339,278.81885
340,528.53534
341,265.46194
342,684.58014
343,316.97925
344,1074.4608
345,513.10986
346,695.242
347,233.35422
348,449.7287
349,402.8204
350,198.70058
351,434.03238
352,709.02716
353,452.9062
354,595.3504
355,510.0095
356,556.16815
357,617.83466
358,433.83334
359,576.3171
360,338.45135
361,735.8379
362,656.0569
363,348.4131
364,530.9983
365,648.2164
366,488.30508
367,282.41626
368,338.4922
369,689.6971
370,356.72647
371,420.10892
372,507.15878
373,1015.60297
374,358.1536
375,205.07664
376,427.99973
377,287.39737
378,487.69727
379,781.6328
380,327.55362
381,263.08002
382,418.12082
383,606.43555
384,495.70938
385,530.89374
386,419.47595
387,330.4031
388,354.4365
